,node_id,name,citation_pmid,prop_id,citation_type,citation_source,citation_authors,citation_pubdate,citation_comment,citation_url,citation_desc
27,30439,,19442750,,CT2,PubMed API,"Cattaneo Z, Devlin JT, Vecchi T, Silvanto J",2009 Aug 15,Via PubMed API,http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=19442750&retmode=ref&cmd=prlinks,Dissociable neural representations of grammatical gender in Broca&#39;s area investigated by the combination of satiation and TMS.
28,30440,,17267574,,CT2,PubMed API,"Lee H, Devlin JT, Shakeshaft C, Stewart LH, Brennan A, Glensman J, Pitcher K, Crinion J, Mechelli A, Frackowiak RS, Green DW, Price CJ",2007 Jan 31,Via PubMed API,http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=17267574&retmode=ref&cmd=prlinks,Anatomical traces of vocabulary acquisition in the adolescent brain.
29,30441,,11212628,,CT2,PubMed API,"Coltheart M, Rastle K, Perry C, Langdon R, Ziegler J",2001 Jan,Via PubMed API,http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=11212628&retmode=ref&cmd=prlinks,DRC: a dual route cascaded model of visual word recognition and reading aloud.
30,30442,,18026167,,CT2,PubMed API,"Patterson K, Nestor PJ, Rogers TT",2007 Dec,Via PubMed API,http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=18026167&retmode=ref&cmd=prlinks,Where do you know what you know? The representation of semantic knowledge in the human brain.
31,30443,,19329570,,CT2,PubMed API,"Binder JR, Desai RH, Graves WW, Conant LL",2009 Dec,Via PubMed API,http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=19329570&retmode=ref&cmd=prlinks,Where is the semantic system? A critical review and meta-analysis of 120 functional neuroimaging studies.
32,30444,,1825731,,CT2,PubMed API,"Sawaguchi T, Goldman-Rakic PS",1991 Feb 22,Via PubMed API,http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=1825731&retmode=ref&cmd=prlinks,D1 dopamine receptors in prefrontal cortex: involvement in working memory.
33,30445,,10945922,,CT2,PubMed API,"Miyake A, Friedman NP, Emerson MJ, Witzki AH, Howerter A, Wager TD",2000 Aug,Via PubMed API,http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=10945922&retmode=ref&cmd=prlinks,The unity and diversity of executive functions and their contributions to complex 
34,30446,,16510720,,CT2,PubMed API,"Aron AR, Poldrack RA",2006 Mar 1,Via PubMed API,http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=16510720&retmode=ref&cmd=prlinks,Cortical and subcortical contributions to Stop signal response inhibition: role of the subthalamic nucleus.
35,30447,,11231835,,CT2,PubMed API,"Barch DM, Carter CS, Braver TS, Sabb FW, MacDonald A 3rd, Noll DC, Cohen JD",2001 Mar,Via PubMed API,http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=11231835&retmode=ref&cmd=prlinks,Selective deficits in prefrontal cortex function in medication-naive patients with schizophrenia.
36,30448,,1449384,,CT2,PubMed API,"Park S, Holzman PS",1992 Dec,Via PubMed API,http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=1449384&retmode=ref&cmd=prlinks,Schizophrenics show spatial working memory deficits.
37,30449,,20817477,,CT2,PubMed API,"Grossberg S, Vladusich T",2010 Aug 5,Via PubMed API,http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=20817477&retmode=ref&cmd=prlinks,"How do children learn to follow gaze, share joint attention, imitate their teachers, and use tools during social interactions?"
38,30450,,17255512,,CT2,PubMed API,"Tom SM, Fox CR, Trepel C, Poldrack RA",2007 Jan 26,Via PubMed API,http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=17255512&retmode=ref&cmd=prlinks,The neural basis of loss aversion in decision-making under risk.
39,30451,,10467589,,CT2,PubMed API,"Knowlton BJ, Squire LR, Gluck MA",1994 Jul-Aug,Via PubMed API,http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=10467589&retmode=ref&cmd=prlinks,Probabilistic classification learning in amnesia.
40,30452,,17409238,,CT2,PubMed API,"Aron AR, Behrens TE, Smith S, Frank MJ, Poldrack RA",2007 Apr 4,Via PubMed API,http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=17409238&retmode=ref&cmd=prlinks,Triangulating a cognitive control network using diffusion-weighted magnetic resonance imaging (MRI) and functional MRI.
41,30453,,10516320,,CT2,PubMed API,"Rogers RD, Owen AM, Middleton HC, Williams EJ, Pickard JD, Sahakian BJ, Robbins TW",1999 Oct 15,Via PubMed API,http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=10516320&retmode=ref&cmd=prlinks,"Choosing between small, likely rewards and large, unlikely rewards activates inferior and orbital prefrontal cortex."
42,30454,,16880132,,CT2,PubMed API,"Preuschoff K, Bossaerts P, Quartz SR",2006 Aug 3,Via PubMed API,http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=16880132&retmode=ref&cmd=prlinks,Neural differentiation of expected reward and risk in human subcortical structures.
43,30455,,18337404,,CT2,PubMed API,"Preuschoff K, Quartz SR, Bossaerts P",2008 Mar 12,Via PubMed API,http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=18337404&retmode=ref&cmd=prlinks,Human insula activation reflects risk prediction errors as well as risk.
44,30456,,11239442,,CT2,PubMed API,"Critchley HD, Mathias CJ, Dolan RJ",2001 Feb,Via PubMed API,http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=11239442&retmode=ref&cmd=prlinks,Neural activity in the human brain relating to uncertainty and arousal during anticipation.
45,30457,,16129404,,CT2,PubMed API,"Kuhnen CM, Knutson B",2005 Sep 1,Via PubMed API,http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=16129404&retmode=ref&cmd=prlinks,The neural basis of financial risk taking.
46,30458,,12948701,,CT2,PubMed API,"Paulus MP, Rogalsky C, Simmons A, Feinstein JS, Stein MB",2003 Aug,Via PubMed API,http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=12948701&retmode=ref&cmd=prlinks,Increased activation in the right insula during risk-taking decision making is related to harm avoidance and neuroticism.
47,30459,,17122317,,CT2,PubMed API,"Tobler PN, O&#39;Doherty JP, Dolan RJ, Schultz W",2007 Feb,Via PubMed API,http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=17122317&retmode=ref&cmd=prlinks,Reward value coding distinct from risk attitude-related uncertainty coding in human reward systems.
48,30460,,17958709,,CT2,PubMed API,"Weller JA, Levin IP, Shiv B, Bechara A",2007 Nov,Via PubMed API,http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=17958709&retmode=ref&cmd=prlinks,Neural correlates of adaptive decision making for risky gains and losses.
49,30461,,18842669,,CT2,PubMed API,"Xue G, Lu Z, Levin IP, Weller JA, Li X, Bechara A",2009 May,Via PubMed API,http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=18842669&retmode=ref&cmd=prlinks,Functional dissociations of risk and reward processing in the medial prefrontal cortex.
50,30462,,8039375,,CT2,PubMed API,"Bechara A, Damasio AR, Damasio H, Anderson SW",1994 Apr-Jun,Via PubMed API,http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=8039375&retmode=ref&cmd=prlinks,Insensitivity to future consequences following damage to human prefrontal cortex.
51,30463,,18787233,,CT2,PubMed API,"Lawrence NS, Jollant F, O&#39;Daly O, Zelaya F, Phillips ML",2009 May,Via PubMed API,http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=18787233&retmode=ref&cmd=prlinks,Distinct roles of prefrontal cortical subregions in the Iowa Gambling Task.
52,30464,,12075692,,CT2,PubMed API,"Lejuez CW, Read JP, Kahler CW, Richards JB, Ramsey SE, Stuart GL, Strong DR, Brown RA",2002 Jun,Via PubMed API,http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=12075692&retmode=ref&cmd=prlinks,Evaluation of a behavioral measure of risk taking: the Balloon Analogue Risk Task (BART).
53,30465,,18582578,,CT2,PubMed API,"Rao H, Korczykowski M, Pluta J, Hoang A, Detre JA",2008 Aug 15,Via PubMed API,http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=18582578&retmode=ref&cmd=prlinks,Neural correlates of voluntary and involuntary risk taking in the human brain: an fMRI Study of the Balloon Analog Risk Task (BART).
54,30466,,17553993,,CT2,PubMed API,"Fecteau S, Pascual-Leone A, Zald DH, Liguori P, ThÃ©oret H, Boggio PS, Fregni F",2007 Jun 6,Via PubMed API,http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=17553993&retmode=ref&cmd=prlinks,Activation of prefrontal cortex by transcranial direct current stimulation reduces appetite for risk during ambiguous decision making.
55,30467,,,,CTM,Manual,Slovic P.,1966,,,Risk-taking in Children: age and sex differences.
56,30468,,19152538,,CT2,PubMed API,"Gianotti LR, Knoch D, Faber PL, Lehmann D, Pascual-Marqui RD, Diezi C, Schoch C, Eisenegger C, Fehr E",2009 Jan,Via PubMed API,http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=19152538&retmode=ref&cmd=prlinks,Tonic activity level in the right prefrontal cortex predicts individuals&#39; risk taking.
57,30469,,19812332,,CT2,PubMed API,"Christopoulos GI, Tobler PN, Bossaerts P, Dolan RJ, Schultz W",2009 Oct 7,Via PubMed API,http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=19812332&retmode=ref&cmd=prlinks,"Neural correlates of value, risk, and risk aversion contributing to decision making under risk."
58,30470,,19369207,,CT2,PubMed API,"Tobler PN, Christopoulos GI, O&#39;Doherty JP, Dolan RJ, Schultz W",2009 Apr 28,Via PubMed API,http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=19369207&retmode=ref&cmd=prlinks,Risk-dependent reward value signal in human prefrontal cortex.
59,30471,,8811970,,CT2,PubMed API,"Gow DW Jr, Caplan D",1996 Feb,Via PubMed API,http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=8811970&retmode=ref&cmd=prlinks,An examination of impaired acoustic-phonetic processing in aphasia.
60,30472,,10946365,,CT2,PubMed API,"Proffitt JB, Coley JD, Medin DL",2000 Jul,Via PubMed API,http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=10946365&retmode=ref&cmd=prlinks,Expertise and category-based induction.
61,30473,,17356686,,CT2,PubMed API,"Lee TW, Josephs O, Dolan RJ, Critchley HD",2006 Sep,Via PubMed API,http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=17356686&retmode=ref&cmd=prlinks,Imitating expressions: emotion-specific neural substrates in facial mimicry.
62,30474,,20884481,,CT2,PubMed API,"Yeshurun Y, Rashal E",2010 Aug 18,Via PubMed API,http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=20884481&retmode=ref&cmd=prlinks,Precueing attention to the target location diminishes crowding and reduces the critical distance.
63,30475,,12760617,,CT2,PubMed API,"Klatzky RL, Lederman SJ",2003 Apr,Via PubMed API,http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=12760617&retmode=ref&cmd=prlinks,Representing spatial location and layout from sparse kinesthetic contacts.
64,30476,,,,CTM,Manual,"Bose A., Buchanan L., Libben G.",2005-03-28,,,Advances in Neurolinguistics: Semantics of Word Production in Aphasia
65,30477,,,,CTM,Manual,"Bose A., Buchanan L., Libben G.",2005-03-28,,,Advances in Neurolinguistics: Semantics of Word Production in Aphasia
66,30478,,,,CTM,Manual,"Bose A., Buchanan L., Libben G.",2005-03-28,,,Advances in Neurolinguistics: Semantics of Word Production in Aphasia
67,30479,,,,CTM,Manual,"Bose A., Buchanan L., Libben G.",2005-03-28,,,Advances in Neurolinguistics: Semantics of Word Production in Aphasia
68,30480,,,,CTM,Manual,"Bose A., Buchanan L., Libben G.",2005-03-28,,,Advances in Neurolinguistics: Semantics of Word Production in Aphasia
69,30481,,,,CTM,Manual,"Finke R. A., Ward T. B., Smith S. M.",1999,,,"Creative Cognition: Theory, Research, and Applications"
70,30482,,14577981,,CT2,PubMed API,"Heishman SJ, Singleton EG, Moolchan ET",2003 Oct,Via PubMed API,http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=14577981&retmode=ref&cmd=prlinks,Tobacco Craving Questionnaire: reliability and validity of a new multifactorial instrument.
71,30483,,12546828,,CT2,PubMed API,"Deneve S, Pouget A",2003 Jan 23,Via PubMed API,http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=12546828&retmode=ref&cmd=prlinks,Basis functions for object-centered representations.
72,30484,,,,CTM,Manual,Jens Wandmacher,,,,A Note on Response-Decision in Perceptual Identification
73,30485,,13192004,,CT2,PubMed API,FISHER C,1954 Jul,Via PubMed API,http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=13192004&retmode=ref&cmd=prlinks,Dreams and perception; the role of preconscious and primary modes of perception in dream formation.
74,30486,,,,CTM,Manual,Fisher C,1956,,,"Dreams, Images, and PerceptionâA Study of Unconscious-Preconscious Relationships"
75,30487,,,,CTM,Manual,"Kameda T., Takezawa M., Tindale R. S., Smith C. M.",,,,Social Sharing and Risk Reduction: Exploring a Computational Algorithm for the Psychology of Windfall Gains
76,30488,,,,CTM,Manual,Kim H.,,,,Providing Validity Evidence for a Speaking Test Using FACETS
77,30489,,,,CTM,Manual,"Markman, A. B.",1997,,,Constraints on Analogical Inference
78,30490,,19449244,,CT2,PubMed API,"Holtzer R, Goldin Y, Donovick PJ",2009 Jul-Sep,Via PubMed API,http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=19449244&retmode=ref&cmd=prlinks,Extending the administration time of the letter fluency test increases sensitivity to cognitive status in aging.
79,30491,,,,CTM,Manual,John Anderson,2004,,,Cognitive Psychology and its Implications
80,30492,,17533755,,CT2,PubMed API,Hayashi M,2007 Apr,Via PubMed API,http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=17533755&retmode=ref&cmd=prlinks,A new notation system of object manipulation in the nesting-cup task for chimpanzees and humans.
81,30493,,12559832,,CT2,PubMed API,Petrides M,2002 Nov,Via PubMed API,http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=12559832&retmode=ref&cmd=prlinks,The mid-ventrolateral prefrontal cortex and active mnemonic retrieval.
82,30494,,20038436,,CT2,PubMed API,"Pobric G, Jefferies E, Ralph MA",2010 Apr,Via PubMed API,http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=20038436&retmode=ref&cmd=prlinks,Amodal semantic representations depend on both anterior temporal lobes: evidence from repetitive transcranial magnetic stimulation.
83,30495,,1777144,,CT2,PubMed API,"Schacter DL, Kaszniak AW, Kihlstrom JF, Valdiserri M",1991 Dec,Via PubMed API,http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=1777144&retmode=ref&cmd=prlinks,The relation between source memory and aging.
84,30496,,,,CTM,Manual,Ted Briscoe,,,,Lexical access in connected speech recognition
85,30497,,15090653,,CT2,PubMed API,"Levy DA, Bayley PJ, Squire LR",2004 Apr 27,Via PubMed API,http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=15090653&retmode=ref&cmd=prlinks,The anatomy of semantic knowledge: medial vs. lateral temporal lobe.
86,30498,,,,CTM,Manual,"Tainturier M-J., Rapp B.",,,,Is a single graphemic buffer used in reading and spelling?
87,30499,,8326473,,CT2,PubMed API,"Gross JJ, Levenson RW",1993 Jun,Via PubMed API,http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=8326473&retmode=ref&cmd=prlinks,"Emotional suppression: physiology, self-report, and expressive behavior."
88,30500,,19768374,,CT2,PubMed API,"Gamboz N, Coluccia E, Iavarone A, Brandimonte MA",2009 Dec,Via PubMed API,http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=19768374&retmode=ref&cmd=prlinks,Normative data for the Pyramids and Palm Trees Test in the elderly Italian population.
89,30501,,16928858,,CT2,PubMed API,"Bangasser DA, Waxler DE, Santollo J, Shors TJ",2006 Aug 23,Via PubMed API,http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=16928858&retmode=ref&cmd=prlinks,Trace conditioning and the hippocampus: the importance of contiguity.
90,30502,,16530842,,CT2,PubMed API,"Sarter M, Gehring WJ, Kozak R",2006 Aug,Via PubMed API,http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=16530842&retmode=ref&cmd=prlinks,More attention must be paid: the neurobiology of attentional effort.
91,30503,,15044521,,CT2,PubMed API,"Bee MA, Klump GM",2004 Aug,Via PubMed API,http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=15044521&retmode=ref&cmd=prlinks,Primitive auditory stream segregation: a neurophysiological study in the songbird forebrain.
92,30504,,11459880,,CT2,PubMed API,"Knutson B, Adams CM, Fong GW, Hommer D",2001 Aug 15,Via PubMed API,http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=11459880&retmode=ref&cmd=prlinks,Anticipation of increasing monetary reward selectively recruits nucleus accumbens.
93,30505,,15486304,,CT2,PubMed API,"McClure SM, Laibson DI, Loewenstein G, Cohen JD",2004 Oct 15,Via PubMed API,http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=15486304&retmode=ref&cmd=prlinks,Separate neural systems value immediate and delayed monetary rewards.
94,30506,,17982449,,CT2,PubMed API,"Kable JW, Glimcher PW",2007 Dec,Via PubMed API,http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=17982449&retmode=ref&cmd=prlinks,The neural correlates of subjective value during intertemporal choice.
95,30507,,21497544,,CT2,PubMed API,"Peters J, BÃ¼chel C",2011 May,Via PubMed API,http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=21497544&retmode=ref&cmd=prlinks,The neural mechanisms of inter-temporal decision-making: understanding variability.
