,node_id,name,alias,concept_class,prop_id,definition_text
78,25136,bitterness,,ctp_C1,trm_4a3fd79d09bcb,"being or inducing the one of the four basic taste sensations that is peculiarly acrid, astringent, or disagreeable; marked by intensity or severity; marked by cynicism and rancor; intensely unpleasant especially in coldness or rawness; expressive of severe pain, grief, or regret."
79,25137,body orientation,,,trm_4a3fd79d09be2,perception of the orientation of the body overall relative to other objects in the environment
80,25138,capacity limitation,,ctp_C2,trm_4a3fd79d09bee,a limitation on the capacity to process information
81,25139,case based reasoning,,ctp_C3,trm_4a3fd79d09bf9,the process of solving new problems based on the solutions of similar past problems.
82,25140,categorical clustering,,ctp_C5,trm_4a3fd79d09c05,the clustering of recalled items based on category membership
83,25141,categorical knowledge,,ctp_C3,trm_4a3fd79d09c11,"knowledge about different attributes and uses of an object that allows it to be placed in a group of objects with similar attributes and uses.
"
84,25142,categorical perception,,ctp_C1,trm_4a3fd79d09c1c,A form of perception in which the individual perceives a categorical distinction rather than a continuous scale of a varying perceptual feature.  
85,25143,categorization,,ctp_C3,trm_4a3fd79d09c28,The assignment of a stimulus to one of a set of categories
86,25144,category based induction,,ctp_C3,trm_4a3fd79d09c34,requires that information about one set of categories is used to infer something about another category. A set of premises establishes that one or more categories possess a certain property.  The premises are followed by an assertion (the conclusion) that a target category also possesses that property. 
87,25145,category learning,,ctp_C5,trm_4a3fd79d09c3f,"is a strategy which requires a learner to compare and contrast groups or categories that contain concept-relevant features with groups or categories that do not contain concept-relevant features.
"
88,25146,causal inference,,ctp_C3,trm_4a3fd79d09c5b,The process of inferring that one state/object/event causes the occurrence of another state/object/event.
89,25147,central attention,,ctp_C2,trm_4a3fd79d09c69,is the cognitive process that allows one to focus on the most important and relevant train of thought that needs to be attended to in a specific situation.
90,25148,centration,,,trm_4a3fd79d09c74,the tendency to focus on one aspect of a situation and neglect others.
91,25149,chemonociception,,ctp_C1,trm_4a3fd79d09c80,perception of stimulation by noxious chemical agents
92,25150,chromatic contrast,,ctp_C1,trm_4a3fd79d09c97,"When a small patch is surrounded by a color field, the patch appears to be tinted in the opponent color of the surrounding field."
93,25151,chunk,,ctp_C5,trm_4a3fd79d09ca3,Structure in memory that is used as a unit of knowledge representation. Also refers to the process of learning by which these units are acquired.
94,25152,chunking,,ctp_C4,trm_4a3fd79d09cae,"The process of recoding information by splitting or reorganizing it into smaller parts. 
Actually: combining several smaller items into a larger &#34;group&#34; item, i.e.: 3 separate &#34;incoming aircraft&#34; considered as &#34;3 incoming aircraft&#34;. Significantly reduces the working memory space used. Likely concept model for computer programming data-forms that list pointers to numerous specific data. Larger classes of concepts include: Learning and Memory, Attention, Action (Planning), Executive Control."
95,25153,cognitive development,,,trm_4a3fd79d09d35,"the construction of thought processes, including remembering, problem solving, and decision-making, from childhood through adolescence to adulthood."
96,25154,cognitive dissonance,,,trm_4a3fd79d09d41,The mental state in which a person holds multiple conflicting ideas simultaneously
97,25155,cognitive effort,mental effort,,trm_4a3fd79d09d4d,Consciously or intentionally engaging cognitive resources in order to achieve a particular end.
98,25156,cognitive heuristic,,ctp_C3,trm_4a3fd79d09d58,"are simple, efficient rules, hard-coded by evolutionary processes or learned, which have been proposed to explain how people make decisions, come to judgments, and solve problems, typically when facing complex problems or incomplete information. These rules work well under most circumstances, but in certain cases lead to systematic errors or cognitive biases."
99,25157,cognitive load,"cognitive effort, processing capacity",ctp_C4,trm_4a3fd79d09d64,"The amount of demand placed on working memory, typically expressed along some continuum and within a theoretical maximum."
100,25158,cognitive map,,,trm_4a3fd79d09d70,"a type of mental processing composed of a series of psychological transformations by which an individual can acquire, code, store, recall, and decode information about the relative locations and attributes of phenomena in their everyday or metaphorical spatial environment."
101,25159,color perception,,ctp_C1,trm_4a3fd79d09d93,The process of distinguishing objects based on the wavelengths of the light they reflect or emit.
102,25160,communication,,ctp_C9,trm_4a3fd79d09d9e,"a process by which information is exchanged between individuals through a common system of symbols, signs, or behavior."
103,25161,competition,,,trm_4a3fd79d09daa,the act or process of competing; active demand by two or more organisms or kinds of organisms for some environmental resource in short supply; a contest between rivals.
104,25162,concept,,,trm_4a3fd79d09db6,"a cognitive unit of meaningâan abstract  idea or a mental symbol  sometimes defined as a &#34;unit of knowledge,&#34; built from other units which act as a concept&#39;s characteristics."
105,25163,concept learning,,ctp_C5,trm_4a3fd79d09dc1,"Concept learning, also known as category learning and concept attainment, is largely based on the works of the cognitive psychologist Jerome Bruner. Bruner, Goodnow, & Austin (1967) defined concept attainment (or concept learning) as &#34;the search for and listing of attributes that can be used to distinguish exemplars from non exemplars of various categories.&#34; More simply put, concepts are the mental categories that help us classify objects, events, or ideas and each object, event, or idea has a set of common relevant features. Thus, concept learning is a strategy which requires a learner to compare and contrast groups or categories that contain concept-relevant features with groups or categories that do not contain concept-relevant features.
"
106,25164,conceptual category,,ctp_C5,trm_4a3fd79d09dcd,"a way of organizing information, generally derived from experience; they can be part of a hierarchy, as in a taxonomy, or without, as in an alphabet."
107,25165,conceptual coherence,,,trm_4a3fd79d09dd9,combining a set concepts to make sense of a situation or set of situations.
108,25166,conceptual planning,,ctp_C6,trm_4a3fd79d09de4,"in linguistics, a flexible process of preparation pertaining to grammatical structure of clauses, occurring both before and during production thereof"
109,25167,conceptual skill,,,trm_4a3fd79d09df0,"is the ability to form concepts about abstract and complex ideas such as communication, language, time, and money, for example."
110,25168,conceptualization,,,trm_4a3fd79d09dfc,to form a concept of; to interpret.
111,25169,conditional reasoning,,ctp_C3,trm_4a3fd79d09e07,"the reasoner must draw a conclusion based on a conditional, or âifâ¦then,â proposition."
112,25170,conflict detection,,ctp_C1,trm_4a3fd79d09e13,"arises in the presence of concurrently active, mutually exclusive representations"
113,25171,conjunction search,,ctp_C2,trm_4a3fd79d09e1e,"the process of searching for a target that is not defined by any single unique visual feature, but by a combination of two or more features."
114,25172,connotation,,ctp_C6,trm_4a3fd79d09e2a,the suggesting of a meaning by a word apart from the thing it explicitly names or describes; something suggested by a word or thing; the signification of something; an essential property or group of properties of a thing named by a term in logic.
115,25173,consciousness,awareness,,trm_4a3fd79d09e35,"the quality or state of being aware especially of something within oneself; the state or fact of being conscious of an external object, state, or fact; the state of being characterized by sensation, emotion, volition, and thought; the totality of conscious states of an individual; the normal state of conscious life,(regained consciousness); the upper level of mental life of which the person is aware as contrasted with unconscious processes.
"
116,25174,constancy,,,trm_4a3fd79d09e58,steadfastness of mind under duress; a state of being constant or unchanging.
117,25175,constituent structure,,,trm_4a3fd79d09e64,"is an analysis, often in the form of a schematic representation, of the constituents of a construction, such as a sentence.
"
118,25176,context,,,trm_4a3fd79d09e6f,"A set of interrelated conditions in which something exists or occurs (e.g., a style of language in a particular passage, activity of a given regions given sensory input)."
119,25177,context dependent,,ctp_C5,trm_4a3fd79d09e7b,"is a class of memory that refers to improved recall of specific episodes or information when the context present at encoding and retrieval are the same.
"
120,25178,context memory,,ctp_C5,trm_4a3fd79d09e87,refers to improved recall of specific episodes or information when the context present at encoding and retrieval are similar.
121,25179,contextual knowledge,,,trm_4a3fd79d09e93,"information, and/or skills that have particular meaning because of the conditions that form part of their description. "
122,25180,contingency learning,,ctp_C5,trm_4a3fd79d09e9e,Learning of the contingencies between different events
123,25181,contrastive stress,,,trm_4a3fd79d09eaa,No definition submitted yet
124,25182,conventionality,,,trm_4a3fd79d09eb6,"the quality, fact, or condition of being conventional; conventional behavior or act; a conventional form, usage, or rule. "
125,25183,convergent thinking,,,trm_4a3fd79d09ece,"analytical, usually deductive, thinking in which ideas are examined for their logical validity or in which a set of rules is followed."
126,25184,conversation,,ctp_C6,trm_4a3fd79d09eda,"An exchange of sentiments, observations, opinions, or ideas."
127,25185,conversational skill,,ctp_C9,trm_4a3fd79d09ee6,"Ability to engage in appropriate communication of sentiments, observations, opinions, or ideas through dialogue."
128,25186,conversational speech,,ctp_C6,trm_4a3fd79d09ef0,"is interactive, more-or-less spontaneous, communication between two or more conversants. Interactivity occurs because contributions to a conversation are response reactions to what has previously been said. Spontaneity occurs because a conversation must proceed, to some extent, and in some way, unpredictably."
129,25187,conversational structure,,ctp_C6,trm_4a3fd79d09efb,"is the organization of interactive, more-or-less spontaneous, communication between two or more conversants.
"
130,25188,coordination,,,trm_4a3fd79d09f07,"is the act of coordinating, making different people or things work together for a goal or effect.  "
131,25189,coproduction,,,trm_4a3fd79d09f12,No definition submitted yet
132,25190,coreference,,ctp_C6,trm_4a3fd79d09f1e,a relationship between two words or phrases in which both refer to the same person or thing and one stands as a linguistic antecedent of the other.
133,25191,creative cognition,,,trm_4a3fd79d09f2a,"involves two types of processes: generative processes and exploratory processes. 

Generative processes are those that most of us think about when we think of creativity. They are the processes by which creative concepts are first born. These processes are highly visible in extreme acts of creativity, but they are also evident in ordinary, everyday cognition.  Examples (from Ward et al.(cited below)) include memory retrieval, association formation among information retrieved from memory, combinations of structures retrieved from memory, the synthesis of new structures, the transformation of retrieved structures into &#34;new forms,&#34; analogical transfer between domains, and &#34;categorical reduction,&#34; which involves reducing existing structures to &#34;more primitive constituents&#34;.  

Exploratory processes are the processes used to explore the structures produced by generative processes. Examples of exploratory processes (given by Ward, et al.) include searching retrieved structures for &#34;novel attributes,&#34; searching for &#34;metaphorical implications,&#34; searching for possible functions, &#34;the evaluation of structures from different perspectives or within different contexts,&#34; interpretation of structures from the perspective of the problem(s) to be solved, and &#34;the search for various practical or conceptual limitations that are suggested by the structures.&#34;
"
134,25192,creative problem solving,,ctp_C3,trm_4a3fd79d09f36,the mental process of independently creating a solution to a problem without learned assistance.
135,25193,creative thinking,,,trm_4a3fd79d09f42,"the intellectually disciplined process of actively and skillfully conceptualizing, applying, analyzing, synthesizing, and/or evaluating information gathered from, or generated by, observation, experience, reflection, reasoning, or communication, as a guide to belief and action (Scriven & Paul, 1992)."
136,25194,critical period,,,trm_4a3fd79d09f4d,"a limited time in which an event can occur, usually to result in some kind of transformation; in developmental psychology and developmental biology, it is a time in the early stages of an organism&#39;s life during which it displays a heightened sensitivity to certain environmental stimuli, and develops in particular ways due to experiences at this time."
137,25195,crosstalk,,,trm_4a3fd79d09f59,interference by information presented via multiple channels
138,25196,crystallized intelligence,,ctp_C3,trm_4a3fd79d09f64,the ability to utilize previously acquired knowledge and experience.
139,25197,cue dependent forgetting,,ctp_C5,trm_4a3fd79d09f70,is the failure to recall a memory due to missing stimuli or cues that were present at the time the memory was encoded.
140,25198,cue validity,,ctp_C2,trm_4a3fd79d09f7c,the conditional probability that an object falls in a particular category given a particular feature or cue.
141,25199,cueing,,,trm_4a3fd79d09f87,to give/present a stimulus that prompts a reaction.
142,25200,dative shift,,ctp_C6,trm_4a3fd79d0a006,"a grammatical process by which an oblique  argument of a verb, usually one functioning as a recipient or a benefactive (roles often expressed by datives), is placed in the same grammatical role as a patient, increasing the valency of the verb and forming a clause with two objects."
143,25201,decay of activation,,ctp_C5,trm_4a3fd79d0a021,"An explanation for why spreading activation, in network-based models of knowledge representation, peters out as a function of the distance between nodes."
144,25202,deception,,ctp_C9,trm_4a3fd79d0a02c,"an act to propagate beliefs that are not true, or not the whole truth (as in half-truths or omission)."
145,25203,decision making,,ctp_C3,trm_4a3fd79d0a038,The deliberate selection of a single alternative amongst multiple alternatives. 
146,25204,declarative knowledge,,ctp_C5,trm_4a3fd79d0a044,Knowledge that is descriptive and includes knowing &#34;that&#34; rather than knowing &#34;how&#34; (can be expressed in declarative sentences).
147,25205,declarative memory,,ctp_C5,trm_4a3fd79d0a04f,"Memory for facts, and that can be intentionally articulated in some manner."
148,25206,declarative rule,,ctp_C5,trm_4a3fd79d0a05b,"A criterion for which one possesses declarative knowledge. Contrasts with an implicit or non-declarative rule, which one might follow but not represent as a rule or even be aware that they are following."
149,25207,deductive inference,,ctp_C3,trm_4a3fd79d0a066,"A type of inference in which the conclusion always follows from the stated premises.If the premises are true, then the conclusion is valid."
150,25208,deductive reasoning,,ctp_C3,trm_4a3fd79d0a072,"is reasoning which constructs or evaluates deductive arguments. Deductive arguments are attempts to show that a conclusion necessarily follows from a set of premises or hypotheses.
"
151,25209,deep processing,,ctp_C5,trm_4a3fd79d0a07e,Evaluating a piece of information in terms of meaning or associations to other concepts as opposed to surface or incidental characteristics.
152,25210,deep structure,,ctp_C6,trm_4a3fd79d0a08a,"The essential meaning of a sentence, without regard to the grammatical features (surface structure) of the sentence that are needed to express it in words."
153,25211,depth cue,,ctp_C1,trm_4a3fd79d0a095,"Depth perception arises from a variety of depth cues. These are typically classified into binocular cues that require input from both eyes and monocular cues that require the input from just one eye.  Binocular cues include stereopsis, yielding depth from binocular vision through exploitation of parallax. Monocular cues include size: distant objects subtend smaller visual angles than near objects.  A third class of cues requires synthetic integration of binocular and monocular cues."
154,25212,depth perception,,ctp_C1,trm_4a3fd79d0a0a1,Ability to perceive the visual world in three dimensions.
155,25213,desire,,ctp_C10,trm_4a3fd79d0a0ad,"to long or hope for, exhibit or feel desire for; to express a wish for."
156,25214,diphthong,,ctp_C6,trm_4a3fd79d0a0dc,a gliding monosyllabic speech sound (as the vowel combination at the end of toy) that starts at or near the articulatory position for one vowel and moves to or toward the position of another.
157,25215,dispositions,,,trm_4a3fd79d0a0e7,Tendency to act in a particular manner given a certain set of antecedents. 
158,25216,distraction,,ctp_C2,trm_4a3fd79d0a0f3,Any event that interrupts a mental process.
159,25217,distributed coding,,ctp_C5,trm_4a3fd79d0a0ff,A type of coding in which the information that constitutes a concept (or mental representation) is spread amongst a number of constituent representations.
160,25218,divergent thinking,,ctp_C3,trm_4a3fd79d0a10a,a thought process or method used to generate creative ideas by exploring many possible solutions.
161,25219,divided attention,,ctp_C2,trm_4a3fd79d0a116,A state in which the focus of attention is spread across more than one object or event.
162,25220,dream,,,trm_4a3fd79d0a12d,"a succession of thoughts, images, sounds or emotions which the mind experiences during sleep."
163,25221,efficiency,,,trm_4a3fd79d0a145,"effective operation as measured by a comparison of production with cost (as in energy, time, money, or cortical activity)"
164,25222,effort,,,trm_4a3fd79d0a151,Consciously or intentionally engaging resources in order to achieve a particular end.
165,25223,effortful processing,,,trm_4a3fd79d0a15c,learning or storing (encoding) that requires attention and effort.
166,25224,egocentric,,,trm_4a3fd79d0a168,"A frame of reference centered around the self. In perception, a first-person frame of reference."
167,25225,elaborative processing,,,trm_4a3fd79d0a173,Processing in which semantic associations or relations between words/concepts are generated or elaborated on.
168,25226,emotion,,ctp_C8,trm_4a3fd79d0a17f,a complex of psychological phenomena that involve some degree of arousal and valence (positive/negative)
169,25227,emotional decision making,,ctp_C8,trm_4a3fd79d0a18b,The use of affective information as information in a decision making process or as a basis for making a decision. Hot cognition.
170,25228,emotional expression,,ctp_C8,trm_4a3fd79d0a196,observable verbal and nonverbal behavior that communicates emotion with or without self-awareness.
171,25229,emotional intelligence,,ctp_C8,trm_4a3fd79d0a1a2,"the capacity, skill or ability to identify, assess, and manage the emotions of one&#39;s self, of others, and of groups."
172,25230,emotional memory,,ctp_C5,trm_4a3fd79d0a1ae,Emotional memory is the storage and recall of events and details that are couple with the physiological response that was present when the event occurred.  
173,25231,emotional mimicry,,ctp_C8,trm_4a3fd79d0a1b9,"is the ability of a person to imitate, copy, and experience the physical and emotional characteristics of another persons emotion.  "
174,25232,emotional suppression,,ctp_C8,trm_4a3fd79d0a1d1,A process to reduce or inhibit the impact of an emotion on ones current conscious state or behavior.
175,25233,episodic learning,,ctp_C5,trm_4a3fd79d0a1e8,a change in behavior that occurs as a result of an event; episodic learning is so named because events are recorded into episodic memory.
176,25234,episodic memory,,ctp_C5,trm_4a3fd79d0a1f4,"memory of autobiographical events (times, places, associated emotions, and other contextual knowledge) that can be explicitly stated."
177,25235,error detection,,ctp_C4,trm_4a3fd79d0a20c,Processes that identify when an error has been made.
178,25236,error signal,,,trm_4a3fd79d0a218,"An event following error detection, in which a sign is relayed notifying the advent of an error."
179,25237,error trapping,,,trm_4a3fd79d0a223,procedures that detect and correct errors before the errors cause further confusion.
180,25238,excitation,,ctp_C8,trm_4a3fd79d0a22f,a state of increased emotional arousal
181,25239,expertise,,ctp_C5,trm_4a3fd79d0a25e,Having a highly cultivated level of skill in a particular domain. Occurs after prolonged experience in a domain.
182,25240,explicit knowledge,,,trm_4a3fd79d0a269,Knowledge that can be articulated or expressed intentionally.
183,25241,explicit learning,,ctp_C5,trm_4a3fd79d0a275,Acquisition of skills and/or knowledge actively and with awareness. Typically such learning is accompanied by meta-awareness - individuals can explain how they acquired the skill/knowledge.
184,25242,explicit memory,,ctp_C5,trm_4a3fd79d0a281,"the conscious, intentional recollection of previous experiences and information."
185,25243,extrinsic motivation,,ctp_C10,trm_4a3fd79d0a28c,"motivated by external factors, as opposed to the internal drivers of intrinsic motivation. Extrinsic motivation drives one to do things for tangible rewards or pressures."
