,node_id,name,confidence_level,truth_value,prop_id,subject_def
56,27426,inflection is a part of morphology,100,positive,ass_4be50ce4e5c4e,
57,27427,inflection is a part of word,100,positive,ass_4be50cf460607,
58,27428,inflection is a part of language,100,positive,ass_4be50d0d38f99,
59,27429,vocabulary is a part of language,100,positive,ass_4be662b0cae30,
60,27430,word is a part of vocabulary,100,positive,ass_4be662db87821,
61,27431,sublexical route is a part of reading,50,positive,ass_4be6656a972bb,
62,27432,semantic memory is a part of language,100,positive,ass_4be6686568ef8,
63,27433,contingency learning is a part of  addiction,100,positive,ass_4fb2b687d0f59,
64,27434,semantic memory is an exact synonym of episodic memory,100,negative,ass_4be66894b137b,exact
65,27435,active maintenance is a part of working memory,100,positive,ass_4c3e046ca128e,
66,27436,interference resolution is a part of working memory,100,positive,ass_4c3e04e7e7ec6,
67,27437,updating is a part of working memory,100,positive,ass_4c3e059f1c90c,
68,27438,listening span task is a broader synonym of Salthouse and Babcock Listening Span task ,100,positive,ass_4c40d1ec945a1,broader
69,27439,CPT is an exact synonym of Continuous Performance Task,100,positive,ass_4c40d239bfc80,exact
70,27440,selective stop signal task is descended from stop signal task,100,positive,ass_4da4b23a5996a,
71,27441,spatial delayed response task is descended from delayed response task,100,positive,ass_4dadbe3928370,
72,27442,picture-word Stroop test is descended from Stroop task,100,positive,ass_4daddb17d8bf3,
73,27443,backward digit span task is a synonym of Wechsler Adult Intelligence Scale - Revised,100,positive,ass_4de569da77399,related
74,27444,left finger response execution is a kind of  response execution,100,positive,ass_565bc8e57842e,
75,27445,phonological working memory is measured by the contrast of forward trials in the Digit span task,100,positive,ass_4de5703114ecd,
76,27446,backward digit span task is descended from Digit span task,100,positive,ass_4de570b290d6b,
77,27447,backward digit span task is a synonym of Forward digit span task,100,negative,ass_4de570d1f0298,exact
78,27448,forward digit span task is descended from digit span task,100,positive,ass_4de575e576f23,
79,27449,visual object detection is measured by the contrast of cash average in the balloon analogue risk task (BART),100,positive,ass_55ef218812d3d,
80,27450,behavioral investment allocation strategy is a synonym of choice task between risky and non-risky options,100,positive,ass_4de57b75a33ff,narrower
81,27451,feedback processing is a part of reinforcement learning,70,positive,ass_563fe195ced75,
82,27452,reinforcement learning is a kind of  learning,70,positive,ass_563fe181ebdca,
83,27453,implicit memory is measured by the contrast of object decision trials in the Birmingham Object Recognition Battery,70,positive,ass_4de67b370bee8,
84,27454,visual perception is measured by Birmingham Object Recognition Battery,70,positive,ass_4de67c01a4101,
85,27455,visual perception is measured by Birmingham Object Recognition Battery,70,positive,ass_4de67c01a4683,
86,27456,spatial localization is a kind of  localization,100,positive,ass_5521a0693c92d,
87,27457,visual object recognition is measured by the contrast of picture naming trials in the Birmingham Object Recognition Battery,100,positive,ass_4de67c52b80cb,
88,27458,form perception is measured by the contrast of size match trials in the Birmingham Object Recognition Battery,70,positive,ass_4de67ccbd2da5,
89,27459,form perception is measured by the contrast of length match trials in the Birmingham Object Recognition Battery,70,positive,ass_4de67ccbd32d5,
90,27460,form perception is measured by the contrast of orientation match trials in the Birmingham Object Recognition Battery,70,positive,ass_4de67ccbd3729,
91,27461,form perception is measured by the contrast of position gap match trials in the Birmingham Object Recognition Battery,70,positive,ass_4de67ccbd3b7c,
92,27462,form perception is measured by the contrast of overlapping figures test trials in the Birmingham Object Recognition Battery,70,positive,ass_4de67ccbd3f2e,
93,27463,form perception is measured by the contrast of minimal feature match trials in the Birmingham Object Recognition Battery,70,positive,ass_4de67ccbd4371,
94,27464,form perception is measured by the contrast of foreshortened match trials in the Birmingham Object Recognition Battery,70,positive,ass_4de67ccbd47b9,
95,27465,Block Design Test is descended from Wechsler Adult Intelligence Scale - Revised,100,positive,ass_4de67f2c5351c,
96,27466,block tapping test is descended from Corsi Blocks,100,positive,ass_4de687ec38861,
97,27467,visual working memory is measured by the contrast of percent correct (number of correct sequences/number of total sequences) trials in the Block Tapping Test,70,positive,ass_4de689faf3493,
98,27468,visual working memory is a kind of visual memory,100,positive,ass_4de68a0fdff68,
99,27469,lexical retrieval is measured by the contrast of percent correct (number of correct responses/number of total pictures) trials in the Boston Naming Test,100,positive,ass_4de68d337fff9,
100,27470,lexical access is measured by the contrast of percent correct (number of correct responses/number of total pictures) trials in the Boston Naming Test,70,positive,ass_4de68d4f64e6f,
101,27471,chunking is measured by the contrast of immediate recall trials in the California Verbal Learning Test-II,50,positive,ass_4de6a3dd42e73,
102,27472,chunking is measured by the contrast of long recall trials in the California Verbal Learning Test-II,50,positive,ass_4de6a3dd43bd8,
103,27473,memory retrieval is measured by the contrast of immediate recall trials in the California Verbal Learning Test-II,100,positive,ass_4de6a4309095b,
104,27474,memory retrieval is measured by the contrast of interference trials in the California Verbal Learning Test-II,100,positive,ass_4de6a43090ee0,
105,27475,memory retrieval is measured by the contrast of long recall trials in the California Verbal Learning Test-II,100,positive,ass_4de6a430912c8,
106,27476,memory retrieval is measured by the contrast of recognition trial trials in the California Verbal Learning Test-II,100,positive,ass_4de6a4309171f,
107,27477,retroactive interference is measured by the contrast of interference trials in the California Verbal Learning Test-II,100,positive,ass_4de6a4670c0fb,
108,27478,working memory retrieval is measured by the contrast of immediate recall trials in the California Verbal Learning Test-II,100,positive,ass_4de6a48eb6473,
109,27479,face recognition is measured by the contrast of same images trials in the Cambridge Face Memory Test,100,positive,ass_4de6af1e3f8cb,
110,27480,face recognition is measured by the contrast of novel images trials in the Cambridge Face Memory Test,100,positive,ass_4de6af1e401df,
111,27481,face recognition is measured by the contrast of novel images with noise trials in the Cambridge Face Memory Test,100,positive,ass_4de6af1e40660,
112,27482,risk seeking is measured by the contrast of correct answers times probability of each color trials in the Cambridge Gambling Task,70,positive,ass_4de6b61fc368f,
113,27483,reward processing is measured by Cambridge Gambling Task,100,positive,ass_4de6b6b7447d8,
114,27484,semantic knowledge is measured by the contrast of total correct responses for all categories trials in the category fluency test,70,positive,ass_4de6b9da441ac,
115,27485,semantic memory is measured by the contrast of total correct responses for all categories trials in the category fluency test,70,positive,ass_4de6ba06976d1,
116,27486,semantic processing is measured by the contrast of total correct responses for all categories trials in the category fluency test,70,positive,ass_4de6ba25f193c,
117,27487,interference is measured by the contrast of Incongruent trials in the Chimeric Animal Stroop Task,100,positive,ass_4de6bc0f1f77c,
118,27488,response selection is measured by the contrast of stimulus trials in the choice reaction time task,100,positive,ass_4de6c14ad54e8,
119,27489,response inhibition is measured by the contrast of non-stimulus trials in the choice reaction time task,100,positive,ass_4de6c1aa37d7d,
120,27490,decision is measured by the contrast of stimulus trials in the choice reaction time task,100,positive,ass_4de6c1e5e4a47,
121,27491,decision is measured by the contrast of non-stimulus trials in the choice reaction time task,100,positive,ass_4de6c1e5e4f3f,
122,27492,decision is measured by the contrast of right hand trials in the choice reaction time task,100,positive,ass_4de6c1e5e53d4,
123,27493,decision is measured by the contrast of left hand trials in the choice reaction time task,100,positive,ass_4de6c1e5e586e,
124,27494,choice is measured by the contrast of stimulus trials in the choice reaction time task,100,positive,ass_4de6c24a3cb58,
125,27495,choice is measured by the contrast of non-stimulus trials in the choice reaction time task,100,positive,ass_4de6c24a3d07c,
126,27496,choice is measured by the contrast of right hand trials in the choice reaction time task,100,positive,ass_4de6c24a3d46d,
127,27497,choice is measured by the contrast of left hand trials in the choice reaction time task,100,positive,ass_4de6c24a3d85c,
128,27498,inhibition of return is measured by the contrast of magnitude of response to second stimulus trials in the attentional blink task,100,positive,ass_4de6c3db83534,
129,27499,risk seeking is measured by the contrast of risky option trials in the Choice task between risky and non-risky options,100,positive,ass_4de6c6bc89d6c,
130,27500,Cambridge Gambling Task is a narrower synonym of Choice task between risky and non-risky options,70,positive,ass_4de6c6e096c94,narrower
131,27501,association learning is measured by the contrast of conditioned response trials in the Classical Conditioning,100,positive,ass_4de6cc870db82,
132,27502,pavlovian conditioning is measured by the contrast of conditioned stimulus trials in the Classical Conditioning,100,positive,ass_4de6ccf161425,
133,27503,pavlovian conditioning is measured by the contrast of unconditioned stimulus trials in the Classical Conditioning,100,positive,ass_4de6ccf161981,
134,27504,pavlovian conditioning is measured by the contrast of unconditioned response trials in the Classical Conditioning,100,positive,ass_4de6ccf161e12,
135,27505,pavlovian conditioning is measured by the contrast of conditioned response trials in the Classical Conditioning,100,positive,ass_4de6ccf162213,
136,27506,instinct is measured by the contrast of unconditioned stimulus trials in the Classical Conditioning,70,positive,ass_4de6cd30e36bf,
137,27507,automaticity is measured by the contrast of unconditioned stimulus trials in the Classical Conditioning,100,positive,ass_4de6cd66d8348,
138,27508,automaticity is measured by the contrast of unconditioned response trials in the Classical Conditioning,100,positive,ass_4de6cd66d880e,
139,27509,automaticity is measured by the contrast of conditioned response trials in the Classical Conditioning,100,positive,ass_4de6cd66d8bf1,
140,27510,syntactic parsing is measured by the contrast of formulating sentences subtest trials in the Clinical Evaluation of Language Fundamentals-3,50,positive,ass_4de6d5c739c46,
141,27511,syntactic parsing is measured by the contrast of sentence structure subtest trials in the Clinical Evaluation of Language Fundamentals-3,50,positive,ass_4de6d5c73a49c,
142,27512,syntactic parsing is measured by the contrast of sentence assembly subtest trials in the Clinical Evaluation of Language Fundamentals-3,50,positive,ass_4de6d5c73a91c,
143,27513,language comprehension is measured by the contrast of concepts and directions subtest trials in the Clinical Evaluation of Language Fundamentals-3,50,positive,ass_4de6d61d75ee3,
144,27514,language comprehension is measured by the contrast of semantic relationships subtest trials in the Clinical Evaluation of Language Fundamentals-3,50,positive,ass_4de6d61d7646d,
145,27515,linguistic competence is measured by the contrast of formulating sentences subtest trials in the Clinical Evaluation of Language Fundamentals-3,70,positive,ass_4de6d67712d7a,
146,27516,linguistic competence is measured by the contrast of sentence structure subtest trials in the Clinical Evaluation of Language Fundamentals-3,70,positive,ass_4de6d6771330f,
147,27517,linguistic competence is measured by the contrast of word classes subtest trials in the Clinical Evaluation of Language Fundamentals-3,70,positive,ass_4de6d677137e3,
148,27518,linguistic competence is measured by the contrast of word structure subtest trials in the Clinical Evaluation of Language Fundamentals-3,70,positive,ass_4de6d67713cc6,
149,27519,linguistic competence is measured by the contrast of sentence assembly subtest trials in the Clinical Evaluation of Language Fundamentals-3,70,positive,ass_4de6d677140c4,
150,27520,semantic category is measured by the contrast of semantic relationships subtest trials in the Clinical Evaluation of Language Fundamentals-3,70,positive,ass_4de6d6b85d8ac,
151,27521,sentence comprehension is measured by the contrast of sentence structure subtest trials in the Clinical Evaluation of Language Fundamentals-3,70,positive,ass_4de6d6fd640d8,
152,27522,sentence comprehension is measured by the contrast of sentence assembly subtest trials in the Clinical Evaluation of Language Fundamentals-3,70,positive,ass_4de6d6fd645f8,
153,27523,word order is measured by the contrast of sentence structure subtest trials in the Clinical Evaluation of Language Fundamentals-3,70,positive,ass_4de6d7350e4f6,
154,27524,speech perception is measured by the contrast of concepts and directions subtest trials in the Clinical Evaluation of Language Fundamentals-3,70,positive,ass_4de6d773724d6,
155,27525,AX-CPT task is a narrower synonym of CPT,70,positive,ass_4de6d8550457b,narrower
156,27526,color perception is measured by the contrast of accuracy trials in the color-discrimination task,100,positive,ass_4de7b94f234c1,
157,27527,Chimeric Animal Stroop Task is descended from Stroop task,100,positive,ass_4de7b9d456f35,
158,27528,color-word stroop task is descended from Stroop task,100,positive,ass_4de7ba741930e,
159,27529,color-word stroop task is a synonym of Stroop task,100,positive,ass_4de7baab14dff,narrower
160,27530,visual form recognition is measured by the contrast of probabilistic classification trials in the Probabilistic classification task,100,positive,ass_55ef1ecd7e419,
161,27531,decision making is measured by the contrast of  in the color-word stroop task,100,positive,ass_55ef1d94052c8,
162,27532,response inhibition is measured by the contrast of  in the color-word stroop task,100,positive,ass_55ef1d9bf177b,
163,27533,response inhibition is a kind of  inhibition,100,positive,ass_55e06891e941b,
164,27534,response inhibition is measured by the contrast of Stop-critical trial trials in the Conditional stop signal task,70,positive,ass_4de7bf85c2dd2,
165,27535,attentional focusing is measured by the contrast of Target trials in the Continuous Performance Task,70,positive,ass_4de7c00482999,
166,27536,word recognition is measured by the contrast of number of correct identifications trials in the continuous recognition paradigm,70,positive,ass_4de7c6ce4e917,
167,27537,false memory is measured by the contrast of number of false positives trials in the continuous recognition paradigm,70,positive,ass_4de7c7328108c,
168,27538,forgetting is measured by the contrast of number of false negatives (missed words) trials in the continuous recognition paradigm,70,positive,ass_4de7c7c634d5f,
169,27539,Cued Explicit Recognition is related to continuous recognition paradigm,100,positive,ass_4de7cfec95073,related
170,27540,word recognition is measured by the contrast of hit rate (number of correct recognitions) trials in the Cued Explicit Recognition,70,positive,ass_4de7d2be1e31a,
171,27541,forgetting is measured by the contrast of miss rate (number of items subject failed to recognize) trials in the Cued Explicit Recognition,70,positive,ass_4de7d2e46b7b4,
172,27542,risk seeking is measured by the contrast of number or value of rewards times probability of reward trials in the Cups task,70,positive,ass_4de7d8be8084c,
173,27543,risk is measured by the contrast of probability of highest reward trials in the Cups task,70,positive,ass_4de7d92057125,
174,27544,reward processing is measured by cups task,70,positive,ass_4de7d937b900a,
175,27545,Cambridge Gambling Task is related to Iowa Gambling Task,70,positive,ass_4de7d9505f787,related
176,27546,theory of mind is measured by the contrast of object occlusion and misinformation scores trials in the Deception Task,70,positive,ass_4de7dec3889b8,
177,27547,theory of mind is measured by the contrast of accuracy trials in the Deception Task,70,positive,ass_4de7dec3892e3,
178,27548,deception is measured by the contrast of hider trials in the Deception Task,70,positive,ass_4de7deea5cdf5,
179,27549,convergent thinking is measured by the contrast of valid trials in the Deductive Reasoning Task,70,positive,ass_4de7e5ff3ca7d,
180,27550,logic is measured by the contrast of valid trials in the Deductive Reasoning Task,70,positive,ass_4de7e6279f71f,
181,27551,logic is measured by the contrast of invalid trials in the Deductive Reasoning Task,70,positive,ass_4de7e6279fd0e,
182,27552,logical reasoning is measured by the contrast of valid trials in the Deductive Reasoning Task,70,positive,ass_4de7e6a8a5f50,
183,27553,logical reasoning is measured by the contrast of invalid trials in the Deductive Reasoning Task,70,positive,ass_4de7e6a8a6464,
184,27554,logical thinking is measured by the contrast of valid trials in the Deductive Reasoning Task,70,positive,ass_4de7e6c26fa49,
185,27555,logical thinking is measured by the contrast of invalid trials in the Deductive Reasoning Task,70,positive,ass_4de7e6c26ff75,
186,27556,conditional reasoning is measured by the contrast of valid trials in the Deductive Reasoning Task,70,positive,ass_4de7e6f8e469e,
187,27557,deductive reasoning is measured by the contrast of valid trials in the Deductive Reasoning Task,100,positive,ass_4de7e713d5662,
188,27558,deductive reasoning is measured by the contrast of invalid trials in the Deductive Reasoning Task,100,positive,ass_4de7e713d5c60,
189,27559,reasoning is measured by the contrast of valid trials in the Deductive Reasoning Task,70,positive,ass_4de7e7589393a,
190,27560,reasoning is measured by the contrast of invalid trials in the Deductive Reasoning Task,70,positive,ass_4de7e75893e2c,
191,27561,delayed match to sample task is a broader synonym of Sternberg delayed recognition task,70,positive,ass_4de90d6b2e345,broader
192,27562,active maintenance is measured by the contrast of reaction time to correct stimuli trials in the delayed match to sample task,70,positive,ass_4de9103c56622,
193,27563,goal maintenance is measured by the contrast of reaction time to correct stimuli trials in the delayed match to sample task,70,positive,ass_4de9108b9868e,
194,27564,memory decay is measured by the contrast of reaction time to correct stimuli trials in the delayed match to sample task,70,positive,ass_4de910d83d233,
195,27565,working memory retrieval is measured by the contrast of reaction time to correct stimuli trials in the delayed match to sample task,70,positive,ass_4de911ec5284f,
196,27566,working memory is measured by the contrast of reaction time to correct stimuli trials in the delayed match to sample task,70,positive,ass_4de9120b3334a,
197,27567,memory decay is measured by the contrast of delay minus no delay trials in the delayed nonmatch to sample task,70,positive,ass_4de91497a8709,
198,27568,working memory is measured by the contrast of delay minus no delay trials in the delayed nonmatch to sample task,70,positive,ass_4de914b9396d4,
199,27569,memory retrieval is measured by the contrast of d' trials in the delayed recall test,70,positive,ass_4de91bb6d3875,
200,27570,risk seeking is measured by the contrast of negative feedback trials in the Devils Task,70,positive,ass_4de91df367f04,
201,27571,working memory is measured by the contrast of forward trials in the Digit span task,100,positive,ass_4de9261f197fa,
202,27572,working memory is measured by the contrast of backward trials in the Digit span task,100,positive,ass_4de9261f19fdd,
203,27573,digit/symbol coding test is descended from Wechsler Adult Intelligence Scale - Revised,50,positive,ass_4de927b6a7bc0,
204,27574,motor control is measured by the contrast of digit/symbol coding - symbol copy trials in the Digit/Symbol Coding test,70,positive,ass_4de92baf4d1c0,
205,27575,working memory is measured by the contrast of immediate memory copy trials in the Digit/Symbol Coding test,70,positive,ass_4de92bdd76640,
206,27576,active retrieval is measured by the contrast of immediate memory copy trials in the Digit/Symbol Coding test,70,positive,ass_4de92c0ae0e07,
207,27577,active retrieval is measured by the contrast of general memory copy trials in the Digit/Symbol Coding test,70,positive,ass_4de92c0ae14d1,
208,27578,memory retrieval is measured by the contrast of general memory copy trials in the Digit/Symbol Coding test,70,positive,ass_4de92c7b6e590,
209,27579,detection is a kind of  perception,70,positive,ass_563fe1f13a5af,
210,27580,risk aversion is a part of  risk processing,70,positive,ass_563fe244dbed6,
211,27581,risk seeking is a part of  risk processing,70,positive,ass_563fe2817c722,
212,27582,auditory attention is measured by the contrast of response time and accuracy trials in the Divided Auditory Attention,100,positive,ass_4de93ad8b05e3,
213,27583,acoustic phonetic processing is measured by the contrast of response time and accuracy trials in the Divided Auditory Attention,70,positive,ass_4de93b01e9429,
214,27584,short-term memory is measured by doors and people test,70,positive,ass_4de93f3fddad8,
215,27585,short-term memory is measured by doors and people test,70,positive,ass_4de93f3fde34d,
216,27586,short-term memory is measured by doors and people test,70,positive,ass_4de93f3fde866,
217,27587,short-term memory is measured by doors and people test,70,positive,ass_4de93f3fded1e,
218,27588,iconic memory is measured by the contrast of visual recognition (doors test) trials in the Doors and People Test,70,positive,ass_4de93f60e8033,
219,27589,iconic memory is measured by the contrast of visual recall (shapes test) trials in the Doors and People Test,70,positive,ass_4de93f60e853f,
220,27590,recall is measured by the contrast of verbal recall (people test) trials in the Doors and People Test,70,positive,ass_4de9400cba367,
221,27591,recall is measured by the contrast of visual recognition (doors test) trials in the Doors and People Test,70,positive,ass_4de9400cba911,
222,27592,recall is measured by the contrast of visual recall (shapes test) trials in the Doors and People Test,70,positive,ass_4de9400cbad4e,
223,27593,recall is measured by the contrast of verbal recognition (names test) trials in the Doors and People Test,70,positive,ass_4de9400cbb19e,
224,27594,motor control is measured by the contrast of overall similarity to intended picture trials in the Drawing,70,positive,ass_4de9562101578,
225,27595,visual perception is measured by drawing,70,positive,ass_4de9575666cfe,
226,27596,cognitive control is measured by the contrast of amount consumed trials in the Eating/Drinking,70,positive,ass_4de95f47bf115,
227,27597,self monitoring is measured by the contrast of amount consumed trials in the Eating/Drinking,100,positive,ass_4de95f9a2f005,
228,27598,motor control is measured by the contrast of sum of strength scores x sum of items per hand trials in the Edinburgh Handedness Inventory,70,positive,ass_4de9646cd4f59,
229,27599,logical reasoning is measured by the contrast of Segmented blocks trials in the Embedded Figures Test,50,positive,ass_4de966be9ce57,
230,27600,logical reasoning is measured by the contrast of Unsegmented blocks trials in the Embedded Figures Test,50,positive,ass_4de966be9d4ea,
231,27601,visuospatial sketch pad is measured by the contrast of Segmented blocks trials in the Embedded Figures Test,70,positive,ass_4de966e2b15d6,
232,27602,visuospatial sketch pad is measured by the contrast of Unsegmented blocks trials in the Embedded Figures Test,70,positive,ass_4de966e2b1b0a,
233,27603,acoustic encoding is measured by the contrast of # items remembered with encoding task - number remembered without trials in the Encoding Task,100,positive,ass_4de9690a7e6c4,
234,27604,auditory coding is measured by the contrast of # items remembered with encoding task - number remembered without trials in the Encoding Task,70,positive,ass_4de9692468a81,
235,27605,auditory encoding is measured by the contrast of # items remembered with encoding task - number remembered without trials in the Encoding Task,70,positive,ass_4de96952caaaf,
236,27606,effortful processing is measured by the contrast of # items remembered with encoding task - number remembered without trials in the Encoding Task,70,positive,ass_4de9696f670f5,
237,27607,encoding is measured by the contrast of # items remembered with encoding task - number remembered without trials in the Encoding Task,70,positive,ass_4de969887ecd6,
238,27608,grammatical encoding is measured by the contrast of # items remembered with encoding task - number remembered without trials in the Encoding Task,70,positive,ass_4de969a0cf116,
239,27609,lexical encoding is measured by the contrast of # items remembered with encoding task - number remembered without trials in the Encoding Task,70,positive,ass_4de969b6ec47b,
240,27610,phonological encoding is measured by the contrast of # items remembered with encoding task - number remembered without trials in the Encoding Task,70,positive,ass_4de969dd297c3,
241,27611,articulatory rehearsal is measured by the contrast of # items remembered with encoding task - number remembered without trials in the Encoding Task,50,positive,ass_4de969f775a05,
242,27612,elaborative rehearsal is measured by the contrast of # items remembered with encoding task - number remembered without trials in the Encoding Task,70,positive,ass_4de96a197c452,
243,27613,episodic memory is measured by the contrast of number of correct identifications trials in the Episodic Recall,70,positive,ass_4de96cf2a501c,
244,27614,autobiographical recall is measured by the contrast of number of correct identifications trials in the Episodic Recall,70,positive,ass_4de96d0f10c3e,
245,27615,response selection is measured by the contrast of congruent correct in the Eriksen flanker task,100,positive,ass_55ef2d4a64edf,
246,27616,response execution is measured by the contrast of congruent correct in the Eriksen flanker task,100,positive,ass_55ef2d5392d84,
247,27617,pattern recognition is measured by the contrast of average number of trials per pattern change trials in the Extradimensional shift task,70,positive,ass_4ded053c42910,
248,27618,attention shifting is measured by the contrast of average number of trials per pattern change trials in the Extradimensional shift task,70,positive,ass_4ded069e0b4ee,
249,27619,face n-back task is related to spatial n-back task,100,positive,ass_4ded1079a441a,related
250,27620,face n-back task is related to letter n-back task,100,positive,ass_4ded108706c48,related
251,27621,emotion perception is measured by the contrast of emotion detection trials in the face n-back task,100,positive,ass_4ded1316dfba2,
252,27622,face recognition is measured by the contrast of identity detection trials in the face n-back task,100,positive,ass_4ded1330f152c,
253,27623,face perception is measured by the contrast of identity detection trials in the face n-back task,100,positive,ass_4ded134b1aa7a,
254,27624,semantic working memory is measured by the contrast of emotion detection trials in the face n-back task,100,positive,ass_4ded138e7e6f0,
255,27625,visual working memory is measured by the contrast of emotion detection trials in the face n-back task,100,positive,ass_4ded13b7b6c64,
256,27626,visual working memory is measured by the contrast of identity detection trials in the face n-back task,100,positive,ass_4ded13b7b71c3,
257,27627,working memory is measured by the contrast of emotion detection trials in the face n-back task,100,positive,ass_4ded13e2bdafe,
258,27628,working memory is measured by the contrast of identity detection trials in the face n-back task,100,positive,ass_4ded13e2be171,
259,27629,working memory retrieval is measured by the contrast of emotion detection trials in the face n-back task,100,positive,ass_4ded13fa08738,
260,27630,working memory retrieval is measured by the contrast of identity detection trials in the face n-back task,100,positive,ass_4ded13fa08d3b,
261,27631,motor control is measured by the contrast of % rhythm maintainance trials in the Finger Tapping Task,100,positive,ass_4ded2ac34c806,
262,27632,motor control is measured by the contrast of tap speed trials in the Finger Tapping Task,100,positive,ass_4ded2ac34d85e,
263,27633,rhythm is measured by the contrast of % rhythm maintainance trials in the Finger Tapping Task,100,positive,ass_4ded2ae2449cd,
264,27634,motor planning is measured by the contrast of % rhythm maintainance trials in the Finger Tapping Task,100,positive,ass_4ded2b4470364,
265,27635,motor planning is measured by the contrast of tap speed trials in the Finger Tapping Task,100,positive,ass_4ded2b44708af,
